table,printed_page,page_row_ordinal,row_kind,z_raw,zeff_raw,zeff_underlined,element_raw,mean_life_raw,rate_raw,huff_raw,refs_raw,note,copy_read
III,2217,1,caption,,,,,,,,,TABLE III. Compendium of total muon capture results for light nuclei. (Z_eff is taken from Ref. 77. When underlined it is an estimate.),published-scan
III,2217,2,header,Z,Z_eff,,Element,Mean life (ns),Total capture rate (s^-1),Huff factor,Refs.,,published-scan
III,2217,3,positive_muon,Positive muon,,false,,2197.03+-0.04,,,"4,5",,published-scan
III,2217,4,data,1,1.0,false,1H^b,2194.903+-0.066,420+-20,1.00,34,,published-scan
III,2217,5,data,,,false,1H^b,,420+-60,1.00,35,,published-scan
III,2217,6,data,,,false,,2194.53+-0.11,470+-29,,36,,published-scan
III,2217,7,data,2,1.98,false,3He,,2170+170(-430),1.00,37,,published-scan
III,2217,8,data,,,false,,,2140+-200,,38,,published-scan
III,2217,9,data,,,false,4He,,336+-75,,39,,published-scan
III,2217,10,data,,,false,,,375+30(-300),,37,,published-scan
III,2217,11,data,,,false,,,364+-46,,60,,published-scan
III,2217,12,data,3,2.94,true,6Li,2173+-5,6100+-1400,,1,,published-scan
III,2217,13,data,,,false,,2175.3+-0.4,4680+-120,1.00,6,,published-scan
III,2217,14,data,,,false,,2177.0+-2.0,4180+-450,,a,,published-scan
III,2217,15,data,3,,false,7Li,2194+-4,1800+-1100,,1,,published-scan
III,2217,16,data,,,false,,2186.8+-0.4,2260+-120,,6,,published-scan
III,2217,17,data,,,false,,2188.3+-2.0,1810+-440,,a,,published-scan
III,2217,18,data,4,3.89,false,Be,2140+-20,18+-10x10^3,1.00,40,,published-scan
III,2217,19,data,,,false,,2156+-10,10+-2x10^3,,1,,published-scan
III,2217,20,data,,,false,,2169.0+-1.0,5.9+-0.2x10^3,,7,,published-scan
III,2217,21,data,,,false,,2162.1+-2.0,7.4+-0.5x10^3,,a,,published-scan
III,2217,22,data,5,4.81,true,10B,2082+-6,26.5+-1.5x10^3,1.00,1,,published-scan
III,2217,23,data,,,false,,2070.7+-3.0,27.8+-0.7x10^3,,a,,published-scan
III,2217,24,data,,,false,11B,2102+-6,21.8+-1.6x10^3,,1,,published-scan
III,2217,25,data,,,false,,2096.1+-3.0,21.9+-0.7x10^3,,a,,published-scan
III,2217,26,data,6,5.72,false,C,2020+-20,44+-10x10^3,1.00,40,,published-scan
III,2217,27,data,,,false,,,36+-4x10^3,,53,,published-scan
III,2217,28,data,,,false,,2043+-3,37.3+-1.1x10^3,,41,,published-scan
III,2217,29,data,,,false,,2041+-5,36.1+-1.0x10^3,,42,,published-scan
III,2217,30,data,,,false,,2040+-30,37+-7x10^3,,43,,published-scan
III,2217,31,data,,,false,,2025+-4,39.7+-1.3x10^3,,1,,published-scan
III,2217,32,data,,,false,,2035+-8,36.5+-2.0x10^3,,27,,published-scan
III,2217,33,data,,,false,,2060+-30,30.3+-7x10^3,,44,,published-scan
III,2217,34,data,,,false,,2030.0+-1.6,37.6+-0.4x10^3,,7,,published-scan
III,2217,35,data,,,false,,2040+-10,35.2+-2.0x10^3,,73,,published-scan
III,2217,36,data,,,false,,2029+-3,37.7+-0.7x10^3,,29,,published-scan
III,2217,37,data,,,false,,2026.3+-1.5,38.8+-0.5x10^3,,a,,published-scan
III,2217,38,data,,,false,13C,2045+-2,33.8+-0.4x10^3,,29,,published-scan
III,2217,39,data,,,false,,2029.1+-3.0,37.6+-0.7x10^3,,a,,published-scan
III,2217,40,data,7,6.61,false,N,1860+-20,86+-11x10^3,1.00,40,,published-scan
III,2217,41,data,,,false,,1927+-13,65+-4x10^3,,1,,published-scan
III,2217,42,data,,,false,,1940.5+-2.8,60.2+-0.8x10^3,,7,,published-scan
III,2217,43,data,,,false,,1910+-3,68.4+-0.8x10^3,,29,,published-scan
III,2217,44,data,,,false,,1906.8+-3.0,69.3+-0.8x10^3,,a,mark: dot above refs a,published-scan
III,2217,45,data,8,7.49,false,O,1640+-30,159+-14x10^3,0.998,40,,published-scan
III,2217,46,data,,,false,,1812+-12,98+-3x10^3,,1,,published-scan
III,2217,47,data,,,false,,1810+-20,98+-5x10^3,,44,,published-scan
III,2217,48,data,,,false,,1832+-29,95+-8x10^3,,73,,published-scan
III,2217,49,data,,,false,,1795.4+-2.0,102.6+-0.6x10^3,,a,,published-scan
III,2217,50,data,,,false,18O,1844.0+-4.5,88.0+-1.5x10^3,,a,,published-scan
III,2217,51,data,9,8.32,false,F,1420+-40,254+-22x10^3,0.998,40,,published-scan
III,2217,52,data,,,false,,1450+-20,235+-10x10^3,,45,,published-scan
III,2217,53,data,,,false,,1458+-13,231+-6x10^3,,27,,published-scan
III,2217,54,data,,,false,,1462.7+-5.0,229+-1x10^3,,a,,published-scan
